Year,Country,Total Greenhouse Gas(MtCo2e),Total Meat Production(tonnes/year)
1993,China,3377.79,40400831.0
1993,United States,5691.26,31172442.0
1993,India,1128.44,4013201.0
1993,Russia,2294.62,7482270.0
1993,Indonesia,1311.27,1830496.0
1993,Brazil,1689.7,9685447.0
1993,Japan,1129.63,3360774.0
1993,Germany,1024.31,5926480.0
1993,Canada,636.25,2860731.0
1993,Mexico,458.0,3300125.0
1993,Others,4327.74,35061925.0
1999,Others,4260.72,36673570.0
1999,Mexico,533.02,4319526.0
1999,Canada,723.75,3875170.0
1999,Germany,934.16,6397175.0
1999,Japan,1182.31,3040638.0
1999,India,1460.24,4342568.0
1999,Indonesia,1261.56,1606676.0
1999,Russia,1772.68,4320872.0
1999,United States,6291.25,37016022.0
1999,China,4053.37,61244882.0
1999,Brazil,1810.51,14579400.0
2005,Germany,909.39,6843746.0
2005,Others,4399.179999999999,36176014.0
2005,Mexico,521.72,5322138.0
2005,Canada,1006.64,4593790.0
2005,Japan,1186.26,3030917.0
2005,Brazil,2004.36,19668815.0
2005,Indonesia,1242.7,1817008.0
2005,Russia,1608.1,4980500.0
2005,India,1977.76,5117266.0
2005,United States,6401.12,39744000.0
2005,China,6862.81,71187383.0
2011,Others,4188.21,39198974.0
2011,Mexico,680.75,6001019.0
2011,Germany,823.34,8357838.0
2011,Japan,1235.29,3153784.0
2011,Brazil,1270.59,24312115.0
2011,Canada,825.24,4353612.0
2011,Russia,1864.86,7519463.0
2011,India,2610.32,6370962.0
2011,United States,5796.78,42450693.0
2011,China,10364.83,81157287.0
2011,Indonesia,1675.72,2553807.0
2017,Mexico,694.58,6807583.0
2017,China,11408.26,88419530.0
2017,United States,5613.64,45798519.0
2017,India,3202.82,7366235.0
2017,Russia,1939.26,10319001.0
2017,Indonesia,1466.05,3337013.0
2017,Brazil,1461.43,27694100.0
2017,Japan,1203.32,3962988.0
2017,Germany,803.18,8281127.0
2017,Canada,745.74,4772748.0
2017,Others,3869.2500000000005,42806710.0
