Entity,1992,2017,ratio,increase_rank
China,27.560000000000002,60.59,119.84760522496371,1.0
South Korea,34.53,70.7,104.74949319432379,2.0
Brazil,53.68,99.84,85.99105812220567,3.0
Mexico,39.83,64.87,62.867185538538806,4.0
South Africa,41.09,60.01,46.045266488196624,5.0
Russia,61.209999999999994,76.60000000000001,25.142950498284623,6.0
Japan,39.82,49.33,23.882471120040176,7.0
Argentina,90.36,109.38,21.049136786188573,8.0
Poland,76.07,88.69,16.5899829104772,9.0
Australia,112.14,121.6,8.435883716782588,10.0
United States,117.41,124.1,5.69798143258666,11.0
United Kingdom,75.63,79.9,5.645907708581264,12.0
Spain,96.94,100.25,3.4144831854755546,13.0
Germany,86.98,87.78,0.9197516670498932,14.0
Italy,86.51000000000002,80.95,-6.427002658652197,15.0
Canada,92.71,82.61000000000001,-10.894186171933967,16.0
Netherlands,87.04,75.8,-12.91360294117648,17.0
France,98.03,83.03999999999999,-15.291237376313383,18.0
Ukraine,59.58,46.92,-21.248741188318224,19.0
